u,g,r,i,z,class,z1,zerr,u-g,g-r,r-i,i-z,class_encoded
19.42054,18.07893,17.38005,16.96138,16.70802,GALAXY,0.08851057,1.089804e-05,1.3416099999999993,0.6988799999999991,0.4186700000000023,0.25335999999999714,0
18.90452,17.85604,17.43399,17.24685,17.01336,GALAXY,0.01000118,1.440954e-05,1.0484800000000014,0.4220499999999987,0.18714000000000297,0.23348999999999975,0
18.82722,17.85872,17.66431,17.60538,17.58847,GALAXY,0.008711896,6.81231e-06,0.9684999999999988,0.1944100000000013,0.05893000000000015,0.016909999999999314,0
19.15835,18.06516,17.44676,17.02189,16.79013,GALAXY,0.1642427,9.388437e-06,1.0931899999999999,0.6183999999999976,0.4248700000000021,0.23175999999999775,0
18.11725,16.97758,16.95843,16.9833,17.02003,STAR,-0.0008791695,1.005745e-05,1.1396699999999989,0.01914999999999978,-0.024869999999999948,-0.0367299999999986,2
19.30486,17.62403,16.88342,16.51304,16.24704,GALAXY,0.04759334,1.691681e-05,1.6808300000000003,0.7406100000000002,0.3703800000000008,0.2660000000000018,0
19.21996,18.29635,18.04471,17.93347,17.93467,STAR,-0.0006113238,2.098302e-05,0.92361,0.25164000000000186,0.11123999999999867,-0.001200000000000756,2
16.15874,14.90808,14.88175,14.94899,15.02288,STAR,3.013543e-05,3.726184e-06,1.2506600000000017,0.026329999999999742,-0.06723999999999997,-0.07389000000000046,2
19.55746,18.93709,19.0944,19.29152,19.50312,STAR,0.000167162,0.0001100811,0.6203699999999976,-0.15730999999999895,-0.19711999999999819,-0.21160000000000068,2
19.28569,18.93336,19.09889,19.32803,19.54727,STAR,-0.000323197,9.420745e-05,0.3523299999999985,-0.1655300000000004,-0.22913999999999746,-0.21924000000000277,2
18.97173,17.85298,17.40431,17.13201,16.92375,GALAXY,0.03491522,6.295223e-06,1.1187500000000021,0.4486699999999999,0.27229999999999777,0.20826000000000278,0
18.59328,17.6849,17.38823,17.2831,17.25731,STAR,-0.0001939762,1.305896e-05,0.9083800000000011,0.2966699999999989,0.10512999999999906,0.025790000000000646,2
18.83618,17.63858,17.08175,16.74605,16.45769,GALAXY,0.08815357,8.853614e-06,1.1975999999999978,0.5568300000000015,0.3356999999999992,0.28836000000000084,0
16.84647,15.57197,15.74708,15.88292,15.97679,STAR,-0.000190524,4.641833e-06,1.2744999999999997,-0.1751100000000001,-0.13583999999999996,-0.09386999999999901,2
19.37385,18.099,17.28425,16.74401,16.45074,GALAXY,0.1162842,8.513557e-06,1.2748500000000007,0.8147500000000001,0.5402400000000007,0.2932699999999997,0
19.38575,18.09979,17.4404,17.06092,16.81593,GALAXY,0.09789862,9.433511e-06,1.2859600000000029,0.6593899999999984,0.3794800000000009,0.24498999999999782,0
19.51748,18.38435,17.7083,17.32994,17.12655,GALAXY,0.1138498,9.280658e-06,1.1331299999999978,0.67605,0.3783600000000007,0.20338999999999885,0
17.72929,15.84636,14.98151,14.57071,14.26951,GALAXY,0.04539777,1.036875e-05,1.8829299999999982,0.8648500000000006,0.41080000000000005,0.3011999999999997,0
19.14913,18.34252,17.13657,17.67422,17.39867,STAR,-0.00060681,1.322724e-05,0.8066099999999992,1.2059500000000014,-0.5376499999999993,0.2755499999999991,2
19.52372,17.3085,16.25168,15.75089,15.39954,GALAXY,0.09616525,2.079939e-05,2.215220000000002,1.0568199999999983,0.5007900000000003,0.35135000000000005,0
18.80203,18.60821,18.57991,18.36332,18.34906,QSO,1.73506,0.0004031311,0.19381999999999877,0.028299999999997993,0.21659000000000006,0.014260000000000161,1
19.13786,18.67326,18.20942,18.16529,18.18816,QSO,1.166718,0.0002134048,0.4646000000000008,0.4638399999999976,0.04413000000000267,-0.022870000000001056,1
17.68525,15.75779,14.87401,14.43425,14.08732,GALAXY,0.03515374,1.498838e-05,1.92746,0.8837799999999998,0.4397599999999997,0.3469300000000004,0
17.05385,15.86587,15.93596,16.004,16.09161,STAR,-0.0006561991,5.427422e-06,1.1879800000000014,-0.07009000000000043,-0.06804000000000165,-0.08760999999999797,2
18.76436,17.56738,17.07209,16.75002,16.55702,GALAXY,0.06276788,6.730397e-06,1.19698,0.4952900000000007,0.3220700000000001,0.19299999999999784,0
19.47766,17.42438,16.36666,15.91222,15.53821,GALAXY,0.1009959,1.690724e-05,2.053280000000001,1.0577199999999998,0.45443999999999996,0.3740100000000002,0
